"DESCRIPTION_ID","DATE_CREATED","DATE_MODIFIED","UPDT_ID","DESCRIPTION","NAME","TITLE","LANGUAGE_ID","ZONE_ID"
"406","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Maryland","NULL","1","105"
"407","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Maryland","NULL","2","105"
"408","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Girona","NULL","1","106"
"409","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Girona","NULL","2","106"
"410","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Maine","NULL","1","107"
"411","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Maine","NULL","2","107"
"412","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Alicante","NULL","1","108"
"413","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Alicante","NULL","2","108"
"414","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Guadalajara","NULL","1","109"
"415","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Guadalajara","NULL","2","109"
"416","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Cantabria","NULL","1","110"
"417","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Cantabria","NULL","2","110"
"418","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Marshall Islands","NULL","1","111"
"419","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Marshall Islands","NULL","2","111"
"420","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Michigan","NULL","1","112"
"421","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Michigan","NULL","2","112"
"422","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Uri","NULL","1","113"
"423","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Uri","NULL","2","113"
"424","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Utah","NULL","1","114"
"425","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Utah","NULL","2","114"
"426","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Minnesota","NULL","1","115"
"427","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Minnesota","NULL","2","115"
"428","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Missouri","NULL","1","116"
"429","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Missouri","NULL","2","116"
"430","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Northern Mariana Islands","NULL","1","117"
"431","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Northern Mariana Islands","NULL","2","117"
"432","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Barcelona","NULL","1","118"
"433","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Barcelona","NULL","2","118"
"434","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Mississippi","NULL","1","119"
"435","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Mississippi","NULL","2","119"
"436","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Montana","NULL","1","120"
"437","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Montana","NULL","2","120"
"438","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Badajoz","NULL","1","121"
"439","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Badajoz","NULL","2","121"
"440","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Mecklenburg-Vorpommern","NULL","1","122"
"441","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Mecklenburg-Vorpommern","NULL","2","122"
"442","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Virginia","NULL","1","123"
"443","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Virginie","NULL","2","123"
"444","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Voralberg","NULL","1","124"
"445","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Voralberg","NULL","2","124"
"446","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Cuenca","NULL","1","125"
"447","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Cuenca","NULL","2","125"
"448","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Wien","NULL","1","126"
"449","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Wien","NULL","2","126"
"450","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Waadt","NULL","1","127"
"451","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Waadt","NULL","2","127"
"452","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Sevilla","NULL","1","128"
"453","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Sevilla","NULL","2","128"
"454","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Virgin Islands","NULL","1","129"
"455","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Virgin Islands","NULL","2","129"
"456","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Zaragoza","NULL","1","130"
"457","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Zaragoza","NULL","2","130"
"458","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","New Brunswick","NULL","1","131"
"459","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Nouveau Brunswick","NULL","2","131"
